episode,total_reward,steps,approx_pipes,deaths,top_hits,action_0_frac,action_1_frac,actions_total
0,10.700000000000006,43,1,2,3,0.7441860465116279,0.2558139534883721,43
1,33.69999999999991,231,16,18,40,0.7792207792207793,0.22077922077922077,231
2,64.7999999999998,316,19,21,38,0.7753164556962026,0.22468354430379747,316
3,21.099999999999994,108,7,6,17,0.7685185185185185,0.23148148148148148,108
4,10.000000000000007,45,3,4,5,0.7333333333333333,0.26666666666666666,45
5,14.100000000000003,68,2,3,7,0.7647058823529411,0.23529411764705882,68
6,18.5,61,4,3,4,0.7704918032786885,0.22950819672131148,61
7,38.29999999999989,199,11,11,28,0.7688442211055276,0.23115577889447236,199
8,14.900000000000007,43,2,0,2,0.7441860465116279,0.2558139534883721,43
9,23.699999999999996,119,9,6,17,0.773109243697479,0.226890756302521,119
10,51.1999999999998,298,18,26,43,0.7684563758389261,0.23154362416107382,298
11,25.29999999999996,108,7,5,13,0.7685185185185185,0.23148148148148148,108
12,20.0,73,5,1,8,0.7671232876712328,0.2328767123287671,73
13,17.799999999999997,60,2,1,6,0.7833333333333333,0.21666666666666667,60
14,21.49999999999997,115,7,9,13,0.7652173913043478,0.23478260869565218,115
15,34.69999999999995,167,13,13,23,0.7664670658682635,0.23353293413173654,167
16,37.399999999999906,190,11,12,25,0.7578947368421053,0.24210526315789474,190
17,58.09999999999981,334,21,22,46,0.7694610778443114,0.23053892215568864,334
18,33.399999999999906,186,11,12,29,0.7634408602150538,0.23655913978494625,186
19,58.59999999999976,303,22,17,43,0.768976897689769,0.23102310231023102,303
20,209.60000000000255,1006,64,61,128,0.7753479125248509,0.22465208747514911,1006
21,84.8000000000002,430,31,27,63,0.7697674418604651,0.2302325581395349,430
22,39.099999999999916,228,11,15,35,0.7763157894736842,0.2236842105263158,228
23,33.89999999999995,137,9,5,16,0.7664233576642335,0.23357664233576642,137
24,20.399999999999995,119,3,9,15,0.7478991596638656,0.25210084033613445,119
25,68.69999999999982,383,24,25,54,0.7702349869451697,0.2297650130548303,383
26,49.99999999999982,229,15,11,27,0.7685589519650655,0.2314410480349345,229
27,29.599999999999937,154,9,12,20,0.7597402597402597,0.24025974025974026,154
28,62.89999999999978,270,18,16,31,0.774074074074074,0.22592592592592592,270
29,50.79999999999981,249,13,17,31,0.7791164658634538,0.22088353413654618,249
30,102.20000000000043,430,29,17,53,0.7697674418604651,0.2302325581395349,430
31,32.799999999999955,120,7,4,12,0.7666666666666667,0.23333333333333334,120
32,110.50000000000054,534,28,33,68,0.7734082397003745,0.22659176029962547,534
33,140.00000000000105,628,32,33,71,0.7738853503184714,0.22611464968152867,628
34,34.99999999999992,175,13,16,26,0.7657142857142857,0.2342857142857143,175
35,27.09999999999997,129,8,4,16,0.7596899224806202,0.24031007751937986,129
36,19.799999999999994,110,7,7,16,0.7727272727272727,0.22727272727272727,110
37,37.89999999999991,174,7,7,18,0.764367816091954,0.23563218390804597,174
38,88.40000000000028,412,24,17,51,0.7718446601941747,0.22815533980582525,412
39,51.89999999999986,269,12,15,35,0.7732342007434945,0.22676579925650558,269
40,26.49999999999996,108,6,6,12,0.7685185185185185,0.23148148148148148,108
41,23.299999999999983,91,5,3,11,0.7582417582417582,0.24175824175824176,91
42,84.10000000000008,393,28,25,55,0.7735368956743003,0.22646310432569974,393
43,19.199999999999992,80,4,3,10,0.775,0.225,80
44,19.69999999999999,91,4,5,12,0.7692307692307693,0.23076923076923078,91
45,38.99999999999993,176,10,8,22,0.7613636363636364,0.23863636363636365,176
46,71.69999999999995,393,26,26,58,0.7684478371501272,0.23155216284987276,393
47,45.39999999999986,279,19,22,43,0.7706093189964157,0.22939068100358423,279
48,22.29999999999997,111,8,7,17,0.7657657657657657,0.23423423423423423,111
49,20.8,99,5,5,12,0.7575757575757576,0.24242424242424243,99
50,55.39999999999984,259,16,10,36,0.7799227799227799,0.22007722007722008,259
51,103.60000000000048,477,33,28,58,0.7777777777777778,0.2222222222222222,477
52,96.30000000000031,478,34,25,70,0.7719665271966527,0.2280334728033473,478
53,104.10000000000062,542,31,33,71,0.7712177121771218,0.22878228782287824,542
54,39.6999999999999,156,4,3,12,0.7692307692307693,0.23076923076923078,156
55,54.39999999999976,303,17,22,41,0.759075907590759,0.24092409240924093,303
56,74.89999999999998,373,21,19,50,0.774798927613941,0.225201072386059,373
57,39.199999999999825,247,17,20,38,0.7732793522267206,0.22672064777327935,247
58,10.200000000000005,34,2,1,2,0.7352941176470589,0.2647058823529412,34
59,13.800000000000017,77,3,5,10,0.7662337662337663,0.23376623376623376,77
60,75.69999999999999,420,27,27,64,0.7761904761904762,0.22380952380952382,420
61,13.100000000000017,82,3,5,12,0.7560975609756098,0.24390243902439024,82
62,12.000000000000007,53,4,3,8,0.7547169811320755,0.24528301886792453,53
63,49.199999999999804,278,19,18,41,0.7769784172661871,0.22302158273381295,278
64,19.29999999999999,108,3,7,17,0.7777777777777778,0.2222222222222222,108
65,38.199999999999925,147,10,6,16,0.7755102040816326,0.22448979591836735,147
66,78.40000000000003,438,29,30,63,0.7831050228310502,0.21689497716894976,438
67,77.7,391,26,31,55,0.7621483375959079,0.23785166240409208,391
68,69.99999999999997,360,24,24,47,0.775,0.225,360
69,35.899999999999935,127,10,2,14,0.7716535433070866,0.2283464566929134,127
70,67.6,360,16,24,42,0.775,0.225,360
71,10.300000000000008,54,3,4,7,0.7592592592592593,0.24074074074074073,54
72,13.30000000000001,54,1,2,6,0.7407407407407407,0.25925925925925924,54
73,11.200000000000006,45,1,1,3,0.7333333333333333,0.26666666666666666,45
74,16.400000000000023,129,10,13,24,0.7674418604651163,0.23255813953488372,129
75,13.80000000000001,53,4,3,6,0.7547169811320755,0.24528301886792453,53
76,144.4000000000011,723,40,48,90,0.7704011065006916,0.22959889349930843,723
77,31.099999999999962,100,6,1,8,0.77,0.23,100
78,7.800000000000006,34,2,2,4,0.7352941176470589,0.2647058823529412,34
79,25.89999999999995,129,7,10,17,0.7596899224806202,0.24031007751937986,129
80,10.200000000000014,62,2,2,10,0.7741935483870968,0.22580645161290322,62
81,23.599999999999984,82,6,2,9,0.7439024390243902,0.25609756097560976,82
82,66.39999999999979,306,24,19,36,0.7745098039215687,0.22549019607843138,306
83,100.40000000000047,562,28,34,75,0.7758007117437722,0.22419928825622776,562
84,27.899999999999963,110,6,4,13,0.7545454545454545,0.24545454545454545,110
85,44.79999999999986,228,14,16,27,0.7719298245614035,0.22807017543859648,228
86,15.700000000000014,90,4,7,11,0.7555555555555555,0.24444444444444444,90
87,21.9,110,6,7,13,0.7454545454545455,0.2545454545454545,110
88,51.59999999999981,299,21,21,49,0.7759197324414716,0.22408026755852842,299
89,29.099999999999966,164,11,12,24,0.7804878048780488,0.21951219512195122,164
90,19.2,77,6,3,10,0.7662337662337663,0.23376623376623376,77
91,39.599999999999895,195,16,10,26,0.764102564102564,0.2358974358974359,195
92,36.69999999999988,195,11,11,27,0.7794871794871795,0.2205128205128205,195
93,34.6999999999999,181,12,10,28,0.7734806629834254,0.2265193370165746,181
94,56.29999999999985,232,12,7,26,0.7672413793103449,0.23275862068965517,232
95,113.00000000000077,562,27,29,72,0.7775800711743772,0.22241992882562278,562
96,36.59999999999991,146,6,4,12,0.773972602739726,0.22602739726027396,146
97,25.89999999999994,143,4,11,17,0.7622377622377622,0.23776223776223776,143
98,115.80000000000074,638,39,40,93,0.7758620689655172,0.22413793103448276,638
99,28.899999999999913,174,10,11,27,0.764367816091954,0.23563218390804597,174
