episode,total_reward,steps,alive_frames,pipes_passed,deaths,top_hits
0,80.80000000000022,477,1723.0,30,31,73
1,43.59999999999988,219,816.0,12,14,30
2,379.79999999999404,1918,7067.0,113,96,271
3,392.69999999999266,1919,7085.0,114,100,254
4,55.299999999999834,231,875.0,15,10,25
5,91.10000000000026,454,1672.0,24,30,62
6,8.500000000000002,26,110.0,2,0,3
7,234.0000000000029,1062,4065.0,81,50,145
8,37.59999999999988,203,736.0,12,11,29
9,42.19999999999989,186,698.0,11,9,21
10,84.50000000000011,345,1318.0,21,14,38
11,390.3999999999949,1815,6829.0,113,105,224
12,503.99999999998545,2339,8763.0,154,106,315
13,87.80000000000021,429,1626.0,28,23,60
14,29.79999999999996,117,439.0,6,2,12
15,433.3999999999913,2086,7804.0,130,106,286
16,25.699999999999957,106,395.0,4,5,9
17,83.10000000000018,389,1488.0,29,19,56
18,79.30000000000007,327,1264.0,21,16,37
19,55.599999999999824,222,837.0,12,8,23
20,16.09999999999998,97,347.0,4,6,15
21,23.6,91,354.0,7,4,9
22,99.90000000000057,506,1911.0,34,35,69
23,75.70000000000002,276,1084.0,20,9,27
24,50.59999999999986,259,955.0,13,16,35
25,10.700000000000008,45,174.0,3,3,5
26,127.1000000000011,664,2462.0,45,45,90
27,81.2,391,1440.0,24,19,46
28,49.199999999999875,233,856.0,12,13,30
29,527.5999999999872,2463,9042.0,145,106,312
30,200.90000000000228,930,3526.0,59,51,122
31,418.09999999999263,2095,7697.0,126,104,287
32,6.200000000000001,22,89.0,1,1,2
33,63.89999999999979,299,1152.0,20,19,40
34,475.49999999998903,2339,8697.0,149,147,304
35,82.99999999999996,421,1598.0,29,30,57
36,243.60000000000286,1125,4307.0,83,47,162
37,119.90000000000084,541,2029.0,33,23,72
38,67.49999999999984,313,1137.0,15,15,37
39,428.8999999999902,2201,8031.0,126,106,312
40,26.099999999999973,99,386.0,4,5,9
41,315.9000000000003,1700,6170.0,97,95,240
42,120.30000000000096,680,2489.0,43,38,103
43,54.899999999999835,251,950.0,17,10,32
44,12.900000000000011,53,206.0,3,4,6
45,15.499999999999993,97,357.0,6,7,17
46,56.09999999999984,224,844.0,11,9,24
47,139.90000000000092,619,2320.0,38,28,72
48,42.49999999999991,212,802.0,16,11,31
49,232.4000000000031,1123,4198.0,72,58,151
50,51.99999999999982,240,859.0,10,13,24
51,192.20000000000232,871,3267.0,52,36,115
52,134.3000000000011,654,2384.0,39,31,85
53,12.80000000000001,58,231.0,4,4,6
54,152.00000000000117,685,2530.0,41,34,82
55,885.1999999999575,4258,15827.0,264,210,585
56,71.1999999999999,306,1138.0,19,9,38
57,8.500000000000004,26,110.0,2,0,3
58,662.0999999999735,3086,11548.0,187,168,389
59,86.70000000000049,510,1847.0,28,33,77
60,158.10000000000178,821,3005.0,49,46,118
61,412.0999999999922,1890,6992.0,106,91,232
62,166.80000000000163,806,3018.0,52,49,98
63,172.80000000000172,901,3322.0,57,58,123
64,104.10000000000048,496,1866.0,31,29,62
65,53.39999999999977,299,1115.0,21,19,45
66,61.69999999999976,298,1092.0,15,16,39
67,100.40000000000035,421,1562.0,23,18,46
68,171.00000000000162,712,2637.0,43,30,72
69,32.89999999999995,148,569.0,11,9,19
70,652.5999999999748,3068,11505.0,207,137,428
71,334.5999999999982,1578,5811.0,91,79,200
72,21.59999999999998,89,330.0,5,4,9
73,100.40000000000057,532,1914.0,28,30,72
74,163.70000000000152,748,2780.0,46,34,94
75,59.699999999999804,269,988.0,16,7,35
76,133.50000000000114,645,2396.0,42,30,86
77,128.4000000000012,671,2466.0,43,35,95
78,249.20000000000294,1089,4056.0,62,49,128
79,96.00000000000041,416,1599.0,32,19,53
80,115.80000000000072,647,2356.0,37,45,92
81,98.9000000000003,409,1536.0,27,11,47
82,243.1000000000036,1329,4893.0,85,83,194
83,16.400000000000013,82,298.0,4,4,12
84,92.4000000000004,449,1717.0,32,26,61
85,115.60000000000069,524,1990.0,35,24,70
86,40.19999999999984,280,990.0,14,20,47
87,83.20000000000003,388,1501.0,27,29,50
88,50.299999999999834,256,945.0,16,17,32
89,179.00000000000173,817,3067.0,52,45,102
90,19.099999999999994,87,322.0,5,4,11
91,11.70000000000002,86,297.0,4,6,13
92,244.60000000000318,1038,3853.0,59,35,123
93,189.20000000000218,919,3445.0,62,47,133
94,364.6999999999968,1654,6130.0,105,80,190
95,10.500000000000009,35,132.0,1,1,3
96,4.700000000000003,30,112.0,1,4,4
97,140.40000000000134,656,2467.0,44,29,87
98,265.80000000000246,1297,4824.0,75,71,172
99,7.400000000000009,50,188.0,4,4,8
100,79.6000000000002,441,1600.0,24,29,62
101,94.40000000000029,429,1586.0,25,15,57
102,23.199999999999978,116,441.0,8,7,16
103,33.89999999999993,164,603.0,7,6,23
104,159.90000000000146,821,3023.0,50,49,116
105,56.59999999999981,259,944.0,14,9,33
106,74.49999999999993,312,1200.0,20,13,37
107,93.8000000000003,430,1592.0,27,18,53
108,86.90000000000018,398,1440.0,21,13,51
109,43.79999999999988,194,717.0,10,11,24
110,240.10000000000358,1227,4583.0,81,70,173
111,416.6999999999927,2008,7475.0,119,99,271
112,169.30000000000172,740,2774.0,43,37,87
113,324.9999999999989,1466,5502.0,91,66,183
114,84.80000000000018,346,1277.0,18,13,33
115,36.099999999999916,156,585.0,9,6,21
116,98.40000000000038,467,1675.0,26,16,63
117,28.39999999999995,106,404.0,5,4,10
118,39.99999999999987,222,796.0,11,13,31
119,36.399999999999885,163,586.0,6,7,19
120,65.59999999999977,346,1289.0,22,22,50
121,143.3000000000012,760,2770.0,46,42,113
122,110.30000000000061,542,2002.0,32,30,71
123,416.6999999999917,2012,7522.0,127,115,259
124,74.59999999999995,289,1119.0,19,10,32
125,62.3999999999998,233,889.0,14,6,25
126,246.90000000000333,1154,4261.0,68,49,158
127,82.40000000000006,484,1796.0,35,40,69
128,193.30000000000214,834,3117.0,52,32,105
129,271.0000000000025,1221,4604.0,77,54,156
130,183.60000000000198,850,3223.0,57,39,115
131,96.90000000000039,428,1605.0,24,21,49
132,121.60000000000082,561,2112.0,36,32,67
133,35.7999999999999,203,745.0,12,15,31
134,165.40000000000168,759,2891.0,53,39,98
135,183.50000000000216,877,3262.0,54,33,126
136,92.10000000000043,393,1506.0,24,15,49
137,198.4000000000026,977,3560.0,58,46,129
138,12.700000000000014,73,270.0,4,4,11
139,100.10000000000043,436,1641.0,27,22,50
140,43.99999999999988,223,825.0,15,10,32
141,287.7000000000015,1438,5371.0,94,78,194
142,23.299999999999983,91,349.0,5,4,11
143,76.90000000000003,325,1248.0,19,17,37
144,163.4000000000015,768,2836.0,49,36,95
145,22.4,91,356.0,8,2,13
146,395.9999999999942,2027,7466.0,126,107,290
147,112.30000000000054,495,1824.0,25,22,56
148,152.0000000000014,768,2854.0,48,54,94
149,151.00000000000148,713,2637.0,41,29,102
150,100.70000000000039,454,1731.0,30,27,57
151,115.30000000000062,533,1904.0,25,22,58
152,61.599999999999795,306,1113.0,17,16,37
153,175.90000000000225,891,3279.0,54,49,116
154,191.30000000000192,796,3057.0,56,31,98
155,490.2999999999868,2342,8704.0,146,117,312
156,16.100000000000005,70,262.0,4,3,8
157,9.600000000000007,45,170.0,3,1,7
158,85.80000000000018,469,1731.0,30,25,69
159,73.60000000000004,356,1353.0,22,20,51
160,200.90000000000268,1108,3960.0,61,65,152
161,30.799999999999947,119,438.0,5,2,12
162,10.00000000000001,49,181.0,2,3,6
163,68.09999999999987,308,1165.0,18,16,37
164,681.2999999999709,3383,12332.0,186,171,440
165,230.60000000000318,1123,4163.0,71,59,152
166,468.299999999989,2171,8030.0,129,94,287
167,138.50000000000102,655,2453.0,39,42,79
168,225.60000000000286,1145,4268.0,75,64,163
169,165.00000000000162,806,2902.0,46,40,103
170,195.00000000000225,911,3383.0,55,42,115
171,49.79999999999983,233,878.0,14,15,27
172,77.39999999999996,316,1174.0,16,12,35
173,146.60000000000113,675,2520.0,38,35,88
174,215.10000000000264,1019,3757.0,57,49,135
175,301.2000000000001,1352,5054.0,80,66,161
176,225.40000000000322,1239,4517.0,72,79,181
177,27.599999999999927,162,570.0,9,8,25
178,59.299999999999805,252,963.0,19,10,31
179,373.99999999999346,1956,7187.0,115,112,269
180,220.80000000000322,1147,4201.0,70,59,170
181,359.99999999999636,1672,6198.0,98,74,220
182,517.9999999999854,2566,9440.0,154,124,359
183,4.700000000000003,30,112.0,1,4,4
184,156.70000000000158,702,2677.0,44,37,88
185,612.7999999999787,2902,10770.0,178,134,393
186,147.00000000000108,647,2510.0,48,35,81
187,60.19999999999981,271,1050.0,18,18,33
188,127.00000000000097,581,2144.0,32,29,72
189,166.10000000000178,877,3286.0,62,62,119
190,53.09999999999982,248,957.0,20,13,37
191,136.30000000000098,643,2337.0,35,29,80
192,21.29999999999999,86,325.0,5,3,9
193,6.200000000000001,22,89.0,1,1,2
194,154.50000000000156,749,2772.0,46,35,102
195,38.29999999999991,167,605.0,7,5,20
196,116.20000000000066,558,2058.0,29,28,74
197,6.200000000000001,22,89.0,1,1,2
198,90.80000000000017,430,1576.0,23,21,56
199,131.20000000000098,645,2387.0,39,36,88
200,249.40000000000325,1107,4090.0,60,45,140
201,14.90000000000002,82,296.0,5,5,12
202,68.89999999999999,284,1077.0,17,14,31
203,56.19999999999977,356,1290.0,22,26,56
204,234.5000000000032,1127,4119.0,63,51,146
205,143.40000000000128,671,2480.0,35,37,83
206,45.09999999999988,192,740.0,13,10,26
207,57.899999999999814,299,1106.0,19,16,44
208,462.39999999998844,2181,8086.0,132,95,289
209,59.39999999999979,233,887.0,14,9,25
210,238.9000000000031,1128,4268.0,73,68,143
211,237.20000000000312,1156,4303.0,71,65,152
212,203.3000000000026,975,3687.0,66,54,137
213,168.8000000000015,760,2808.0,39,34,94
214,364.999999999996,1786,6613.0,107,92,246
215,226.70000000000283,1039,3880.0,59,51,127
216,31.699999999999946,148,524.0,6,7,16
217,190.40000000000254,1024,3667.0,52,56,148
218,37.4999999999999,175,632.0,9,6,23
219,66.4,303,1105.0,13,16,32
220,29.19999999999992,167,591.0,9,8,26
221,242.80000000000308,1184,4468.0,82,73,154
222,102.90000000000052,425,1671.0,32,20,53
223,80.00000000000014,391,1395.0,18,20,44
224,552.7999999999835,2719,10058.0,166,155,343
225,66.69999999999993,249,947.0,12,9,22
226,421.9999999999924,1984,7377.0,121,107,243
227,206.40000000000273,995,3732.0,66,53,132
228,338.59999999999854,1546,5660.0,84,65,191
229,189.8000000000024,953,3550.0,64,49,139
230,20.099999999999994,86,321.0,5,3,10
231,403.49999999999466,1919,7191.0,122,107,248
232,135.80000000000098,667,2463.0,39,42,83
233,139.80000000000118,674,2447.0,36,30,88
234,307.4999999999998,1438,5451.0,97,67,202
235,88.00000000000017,354,1322.0,19,11,37
236,75.89999999999995,421,1547.0,27,23,68
237,58.99999999999976,308,1087.0,14,12,43
238,330.29999999999853,1669,6159.0,98,95,226
239,167.2000000000014,695,2644.0,48,29,80
240,15.0,77,275.0,3,4,9
241,15.500000000000014,73,279.0,4,5,10
242,68.79999999999987,356,1280.0,18,21,50
243,40.39999999999988,241,847.0,14,13,37
244,27.899999999999906,182,669.0,11,14,32
245,49.49999999999987,192,750.0,13,7,23
246,130.90000000000094,590,2213.0,35,29,73
247,197.70000000000223,949,3607.0,60,62,131
248,175.3000000000019,891,3254.0,52,49,124
249,18.300000000000004,99,377.0,8,6,16
250,14.100000000000001,68,254.0,3,3,9
251,30.199999999999932,193,654.0,6,15,22
252,156.90000000000134,764,2817.0,44,42,99
253,22.49999999999999,71,290.0,4,1,6
254,89.60000000000029,421,1535.0,23,20,54
255,96.10000000000046,543,1992.0,28,38,82
256,48.999999999999865,203,764.0,13,6,27
257,50.49999999999985,213,754.0,10,5,21
258,90.5000000000001,541,1891.0,27,36,78
259,148.20000000000155,767,2895.0,55,54,105
260,32.89999999999994,195,734.0,14,18,29
261,161.90000000000154,793,2914.0,47,41,105
262,107.70000000000057,506,1857.0,31,23,61
263,94.20000000000023,487,1789.0,34,23,71
264,290.8000000000009,1373,5030.0,78,61,180
265,142.4000000000013,685,2526.0,44,38,87
266,74.49999999999997,365,1319.0,19,16,50
267,294.9000000000016,1527,5701.0,104,91,220
268,204.30000000000257,1019,3830.0,68,62,142
269,71.79999999999988,372,1346.0,21,18,50
270,378.49999999999454,1927,7165.0,117,113,270
271,267.4000000000028,1320,4841.0,76,74,169
272,518.0999999999857,2459,9216.0,151,122,332
273,93.10000000000025,495,1837.0,31,30,70
274,595.6999999999788,2686,10099.0,173,128,335
275,17.000000000000007,52,204.0,2,1,2
276,184.40000000000205,921,3303.0,46,35,126
277,78.4,356,1314.0,21,15,41
278,62.49999999999975,315,1155.0,19,15,45
279,214.700000000003,1108,4076.0,67,66,161
280,105.80000000000034,445,1679.0,28,20,52
281,76.10000000000005,369,1352.0,23,18,49
282,93.8000000000002,427,1599.0,27,21,51
283,180.40000000000174,788,3002.0,54,42,93
284,119.80000000000076,599,2229.0,38,32,79
285,16.800000000000008,77,303.0,7,3,12
286,204.90000000000276,995,3728.0,73,49,134
287,64.19999999999975,373,1332.0,18,25,52
288,133.4000000000011,655,2363.0,34,32,81
289,101.2000000000005,542,1983.0,31,31,77
290,588.5999999999794,2791,10354.0,172,124,380
291,2.3000000000000043,30,108.0,1,4,6
292,280.00000000000216,1316,4921.0,84,74,163
293,37.399999999999906,190,671.0,9,10,23
294,200.40000000000248,956,3516.0,61,41,126
295,56.69999999999978,313,1191.0,24,23,48
296,90.90000000000033,425,1609.0,25,23,55
297,66.39999999999985,303,1147.0,22,16,35
298,198.40000000000228,879,3370.0,63,45,110
299,341.59999999999724,1617,6078.0,101,85,211
