Episode     0 | Reward:   -1.30 | Avg(100):   -1.30 | Epsilon: 0.9996 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      12
Episode     1 | Reward:   -1.30 | Avg(100):   -1.30 | Epsilon: 0.9993 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      24
Episode     2 | Reward:   -0.70 | Avg(100):   -1.10 | Epsilon: 0.9989 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:      36
Episode     3 | Reward:   -3.70 | Avg(100):   -1.75 | Epsilon: 0.9985 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:      48
Episode     4 | Reward:   -1.30 | Avg(100):   -1.66 | Epsilon: 0.9982 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:      60
Episode     5 | Reward:   -2.80 | Avg(100):   -1.85 | Epsilon: 0.9975 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:      81
Episode     6 | Reward:   -1.30 | Avg(100):   -1.77 | Epsilon: 0.9972 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:      93
Episode     7 | Reward:   -1.30 | Avg(100):   -1.71 | Epsilon: 0.9968 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     105
Episode     8 | Reward:   -1.00 | Avg(100):   -1.63 | Epsilon: 0.9964 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     119
Episode     9 | Reward:   -1.30 | Avg(100):   -1.60 | Epsilon: 0.9960 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     131
Episode    10 | Reward:   -1.30 | Avg(100):   -1.57 | Epsilon: 0.9957 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     143
Episode    11 | Reward:   -1.30 | Avg(100):   -1.55 | Epsilon: 0.9953 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     155
Episode    12 | Reward:   -1.30 | Avg(100):   -1.53 | Epsilon: 0.9949 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     167
Episode    13 | Reward:   -1.30 | Avg(100):   -1.51 | Epsilon: 0.9946 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     179
Episode    14 | Reward:   -1.30 | Avg(100):   -1.50 | Epsilon: 0.9942 | Best Avg Reward:    -inf | Best Reward:   -0.70 | Steps:     191
Episode    15 | Reward:    0.40 | Avg(100):   -1.38 | Epsilon: 0.9940 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     198
Episode    16 | Reward:   -1.30 | Avg(100):   -1.38 | Epsilon: 0.9936 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     210
Episode    17 | Reward:   -1.30 | Avg(100):   -1.37 | Epsilon: 0.9933 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     222
Episode    18 | Reward:   -0.40 | Avg(100):   -1.32 | Epsilon: 0.9929 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     235
Episode    19 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9925 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     247
Episode    20 | Reward:   -1.00 | Avg(100):   -1.30 | Epsilon: 0.9921 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     261
Episode    21 | Reward:   -0.10 | Avg(100):   -1.25 | Epsilon: 0.9917 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     273
Episode    22 | Reward:   -0.70 | Avg(100):   -1.23 | Epsilon: 0.9914 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     285
Episode    23 | Reward:   -1.30 | Avg(100):   -1.23 | Epsilon: 0.9910 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     297
Episode    24 | Reward:   -1.30 | Avg(100):   -1.23 | Epsilon: 0.9907 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     309
Episode    25 | Reward:   -3.70 | Avg(100):   -1.33 | Epsilon: 0.9903 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     321
Episode    26 | Reward:   -1.30 | Avg(100):   -1.33 | Epsilon: 0.9899 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     333
Episode    27 | Reward:   -2.50 | Avg(100):   -1.37 | Epsilon: 0.9896 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     345
Episode    28 | Reward:   -1.30 | Avg(100):   -1.37 | Epsilon: 0.9892 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     357
Episode    29 | Reward:   -6.10 | Avg(100):   -1.52 | Epsilon: 0.9888 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     369
Episode    30 | Reward:   -1.30 | Avg(100):   -1.52 | Epsilon: 0.9885 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     381
Episode    31 | Reward:   -1.30 | Avg(100):   -1.51 | Epsilon: 0.9881 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     393
Episode    32 | Reward:   -2.50 | Avg(100):   -1.54 | Epsilon: 0.9878 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     405
Episode    33 | Reward:   -1.30 | Avg(100):   -1.53 | Epsilon: 0.9874 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     417
Episode    34 | Reward:   -1.20 | Avg(100):   -1.52 | Epsilon: 0.9870 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     429
Episode    35 | Reward:   -1.30 | Avg(100):   -1.52 | Epsilon: 0.9867 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     441
Episode    36 | Reward:   -1.30 | Avg(100):   -1.51 | Epsilon: 0.9863 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     453
Episode    37 | Reward:   -3.20 | Avg(100):   -1.56 | Epsilon: 0.9859 | Best Avg Reward:    -inf | Best Reward:    0.40 | Steps:     466
Episode    38 | Reward:    1.10 | Avg(100):   -1.49 | Epsilon: 0.9856 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     478
Episode    39 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9852 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     490
Episode    40 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9849 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     502
Episode    41 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9845 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     514
Episode    42 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9841 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     526
Episode    43 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9838 | Best Avg Reward:    -inf | Best Reward:    1.10 | Steps:     538
Episode    44 | Reward:    1.70 | Avg(100):   -1.40 | Epsilon: 0.9834 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     550
Episode    45 | Reward:   -1.30 | Avg(100):   -1.39 | Epsilon: 0.9831 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     562
Episode    46 | Reward:   -3.70 | Avg(100):   -1.44 | Epsilon: 0.9827 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     574
Episode    47 | Reward:   -2.50 | Avg(100):   -1.46 | Epsilon: 0.9823 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     586
Episode    48 | Reward:   -1.30 | Avg(100):   -1.46 | Epsilon: 0.9820 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     598
Episode    49 | Reward:   -1.00 | Avg(100):   -1.45 | Epsilon: 0.9816 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     612
Episode    50 | Reward:   -1.30 | Avg(100):   -1.45 | Epsilon: 0.9812 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     624
Episode    51 | Reward:   -1.30 | Avg(100):   -1.45 | Epsilon: 0.9809 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     636
Episode    52 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9805 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     648
Episode    53 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9801 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     660
Episode    54 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9798 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     672
Episode    55 | Reward:   -3.70 | Avg(100):   -1.48 | Epsilon: 0.9794 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     684
Episode    56 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9791 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     696
Episode    57 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9787 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     708
Episode    58 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9784 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     720
Episode    59 | Reward:    0.90 | Avg(100):   -1.43 | Epsilon: 0.9779 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     735
Episode    60 | Reward:   -3.70 | Avg(100):   -1.47 | Epsilon: 0.9776 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     747
Episode    61 | Reward:   -1.30 | Avg(100):   -1.46 | Epsilon: 0.9772 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     759
Episode    62 | Reward:   -1.30 | Avg(100):   -1.46 | Epsilon: 0.9768 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     771
Episode    63 | Reward:   -1.30 | Avg(100):   -1.46 | Epsilon: 0.9765 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     783
Episode    64 | Reward:    1.30 | Avg(100):   -1.42 | Epsilon: 0.9762 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     792
Episode    65 | Reward:   -2.50 | Avg(100):   -1.43 | Epsilon: 0.9759 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     804
Episode    66 | Reward:   -1.90 | Avg(100):   -1.44 | Epsilon: 0.9755 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     816
Episode    67 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9752 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     828
Episode    68 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9748 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     840
Episode    69 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9744 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     852
Episode    70 | Reward:   -4.90 | Avg(100):   -1.48 | Epsilon: 0.9741 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     864
Episode    71 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9737 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     876
Episode    72 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9734 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     888
Episode    73 | Reward:   -2.10 | Avg(100):   -1.49 | Epsilon: 0.9729 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     903
Episode    74 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9726 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     915
Episode    75 | Reward:    1.30 | Avg(100):   -1.45 | Epsilon: 0.9723 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     924
Episode    76 | Reward:   -1.30 | Avg(100):   -1.45 | Epsilon: 0.9720 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     936
Episode    77 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9716 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     948
Episode    78 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9712 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     960
Episode    79 | Reward:   -4.90 | Avg(100):   -1.49 | Epsilon: 0.9709 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     972
Episode    80 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9705 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     984
Episode    81 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9702 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:     996
Episode    82 | Reward:   -3.70 | Avg(100):   -1.51 | Epsilon: 0.9698 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1008
Episode    83 | Reward:   -0.10 | Avg(100):   -1.49 | Epsilon: 0.9695 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1020
Episode    84 | Reward:   -1.90 | Avg(100):   -1.50 | Epsilon: 0.9691 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1032
Episode    85 | Reward:   -1.30 | Avg(100):   -1.49 | Epsilon: 0.9688 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1044
Episode    86 | Reward:    0.90 | Avg(100):   -1.47 | Epsilon: 0.9684 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1058
Episode    87 | Reward:    0.50 | Avg(100):   -1.44 | Epsilon: 0.9680 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1070
Episode    88 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9677 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1082
Episode    89 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9673 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1094
Episode    90 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9669 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1106
Episode    91 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9666 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1118
Episode    92 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9662 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1130
Episode    93 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9659 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1142
Episode    94 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9655 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1154
Episode    95 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9652 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1166
Episode    96 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9648 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1178
Episode    97 | Reward:   -3.80 | Avg(100):   -1.45 | Epsilon: 0.9644 | Best Avg Reward:    -inf | Best Reward:    1.70 | Steps:    1193
Episode    98 | Reward:    1.90 | Avg(100):   -1.42 | Epsilon: 0.9640 | Best Avg Reward:    -inf | Best Reward:    1.90 | Steps:    1205
Episode    99 | Reward:   -1.30 | Avg(100):   -1.42 | Epsilon: 0.9637 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1217
Episode   100 | Reward:   -0.70 | Avg(100):   -1.41 | Epsilon: 0.9633 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1229
Episode   101 | Reward:   -3.70 | Avg(100):   -1.44 | Epsilon: 0.9630 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1241
Episode   102 | Reward:   -1.90 | Avg(100):   -1.45 | Epsilon: 0.9626 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1253
Episode   103 | Reward:   -3.70 | Avg(100):   -1.45 | Epsilon: 0.9623 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1265
Episode   104 | Reward:   -0.10 | Avg(100):   -1.44 | Epsilon: 0.9619 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1277
Episode   105 | Reward:   -1.30 | Avg(100):   -1.42 | Epsilon: 0.9616 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1289
Episode   106 | Reward:   -3.70 | Avg(100):   -1.45 | Epsilon: 0.9612 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1301
Episode   107 | Reward:   -1.30 | Avg(100):   -1.45 | Epsilon: 0.9609 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1313
Episode   108 | Reward:   -1.30 | Avg(100):   -1.45 | Epsilon: 0.9605 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1325
Episode   109 | Reward:   -3.10 | Avg(100):   -1.47 | Epsilon: 0.9602 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1337
Episode   110 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9598 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1349
Episode   111 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9595 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1361
Episode   112 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9591 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1373
Episode   113 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9588 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1385
Episode   114 | Reward:   -1.30 | Avg(100):   -1.47 | Epsilon: 0.9584 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1397
Episode   115 | Reward:   -1.30 | Avg(100):   -1.48 | Epsilon: 0.9581 | Best Avg Reward:   -1.42 | Best Reward:    1.90 | Steps:    1409
Episode   116 | Reward:    4.40 | Avg(100):   -1.43 | Epsilon: 0.9576 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1425
Episode   117 | Reward:   -1.30 | Avg(100):   -1.43 | Epsilon: 0.9573 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1437
Episode   118 | Reward:   -1.30 | Avg(100):   -1.44 | Epsilon: 0.9569 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1449
Episode   119 | Reward:    0.20 | Avg(100):   -1.42 | Epsilon: 0.9565 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1463
Episode   120 | Reward:   -1.30 | Avg(100):   -1.42 | Epsilon: 0.9562 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1475
Episode   121 | Reward:    0.50 | Avg(100):   -1.42 | Epsilon: 0.9558 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1487
Episode   122 | Reward:   -1.30 | Avg(100):   -1.42 | Epsilon: 0.9555 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1499
Episode   123 | Reward:   -0.10 | Avg(100):   -1.41 | Epsilon: 0.9551 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1511
Episode   124 | Reward:   -1.90 | Avg(100):   -1.42 | Epsilon: 0.9548 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1523
Episode   125 | Reward:   -1.30 | Avg(100):   -1.39 | Epsilon: 0.9544 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1535
Episode   126 | Reward:   -1.30 | Avg(100):   -1.39 | Epsilon: 0.9541 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1547
