/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
...
Episode  3410 | Reward:    3.60 | Avg(100):    7.27 | Epsilon: 0.0626 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   67883 | Ep Time:   0.85s | Avg100 Time:   1.78s | Total Time:   41.70m
Episode  3411 | Reward:   12.90 | Avg(100):    7.38 | Epsilon: 0.0626 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   67943 | Ep Time:   2.34s | Avg100 Time:   1.80s | Total Time:   41.74m
Episode  3412 | Reward:    8.00 | Avg(100):    7.43 | Epsilon: 0.0626 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   67974 | Ep Time:   1.20s | Avg100 Time:   1.81s | Total Time:   41.76m
Episode  3413 | Reward:   17.30 | Avg(100):    7.43 | Epsilon: 0.0625 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68056 | Ep Time:   3.18s | Avg100 Time:   1.80s | Total Time:   41.81m
Episode  3414 | Reward:    3.50 | Avg(100):    7.41 | Epsilon: 0.0625 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68072 | Ep Time:   0.62s | Avg100 Time:   1.80s | Total Time:   41.82m
Episode  3415 | Reward:   15.00 | Avg(100):    7.53 | Epsilon: 0.0625 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68236 | Ep Time:   6.30s | Avg100 Time:   1.85s | Total Time:   41.92m
Episode  3416 | Reward:   10.70 | Avg(100):    7.61 | Epsilon: 0.0624 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68281 | Ep Time:   1.74s | Avg100 Time:   1.86s | Total Time:   41.95m
Episode  3417 | Reward:    9.10 | Avg(100):    7.66 | Epsilon: 0.0624 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68321 | Ep Time:   1.60s | Avg100 Time:   1.87s | Total Time:   41.98m
Episode  3418 | Reward:    6.10 | Avg(100):    7.71 | Epsilon: 0.0624 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68345 | Ep Time:   0.97s | Avg100 Time:   1.87s | Total Time:   42.00m
Episode  3419 | Reward:   -3.30 | Avg(100):    7.64 | Epsilon: 0.0624 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68377 | Ep Time:   1.25s | Avg100 Time:   1.87s | Total Time:   42.02m
Episode  3420 | Reward:   16.40 | Avg(100):    7.65 | Epsilon: 0.0624 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68459 | Ep Time:   3.18s | Avg100 Time:   1.86s | Total Time:   42.07m
Episode  3421 | Reward:    6.40 | Avg(100):    7.59 | Epsilon: 0.0623 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68508 | Ep Time:   1.98s | Avg100 Time:   1.85s | Total Time:   42.10m
Episode  3422 | Reward:    5.30 | Avg(100):    7.62 | Epsilon: 0.0623 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68589 | Ep Time:   3.13s | Avg100 Time:   1.87s | Total Time:   42.15m
Episode  3423 | Reward:   20.40 | Avg(100):    7.79 | Epsilon: 0.0623 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68704 | Ep Time:   4.48s | Avg100 Time:   1.91s | Total Time:   42.23m
Episode  3424 | Reward:    7.30 | Avg(100):    7.59 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68728 | Ep Time:   0.95s | Avg100 Time:   1.87s | Total Time:   42.24m
Episode  3425 | Reward:   -3.80 | Avg(100):    7.49 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68743 | Ep Time:   0.56s | Avg100 Time:   1.86s | Total Time:   42.25m
Episode  3426 | Reward:    5.40 | Avg(100):    7.50 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68814 | Ep Time:   2.79s | Avg100 Time:   1.88s | Total Time:   42.30m
Episode  3427 | Reward:    5.40 | Avg(100):    7.47 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68837 | Ep Time:   0.95s | Avg100 Time:   1.88s | Total Time:   42.32m
Episode  3428 | Reward:    1.40 | Avg(100):    7.45 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68858 | Ep Time:   0.83s | Avg100 Time:   1.88s | Total Time:   42.33m
