Episode     0 | Reward:   -4.90 | Avg(100):   -4.90 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -4.90 | Steps:      12 | Ep Time:   0.60s | Avg100 Time:   0.60s | Total Time:    0.01m
Episode     1 | Reward:   -1.30 | Avg(100):   -3.10 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      24 | Ep Time:   0.39s | Avg100 Time:   0.49s | Total Time:    0.02m
Episode     2 | Reward:   -6.70 | Avg(100):   -4.30 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      36 | Ep Time:   0.38s | Avg100 Time:   0.46s | Total Time:    0.02m
Episode     3 | Reward:   -6.70 | Avg(100):   -4.90 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      48 | Ep Time:   0.37s | Avg100 Time:   0.44s | Total Time:    0.03m
Episode     4 | Reward:   -6.70 | Avg(100):   -5.26 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      60 | Ep Time:   0.38s | Avg100 Time:   0.42s | Total Time:    0.04m
Episode     5 | Reward:   -6.70 | Avg(100):   -5.50 | Epsilon: 0.1000 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      72 | Ep Time:   0.38s | Avg100 Time:   0.42s | Total Time:    0.04m
Episode     6 | Reward:   -4.90 | Avg(100):   -5.41 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      84 | Ep Time:   0.37s | Avg100 Time:   0.41s | Total Time:    0.05m
Episode     7 | Reward:   -6.70 | Avg(100):   -5.58 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:      96 | Ep Time:   0.38s | Avg100 Time:   0.41s | Total Time:    0.05m
Episode     8 | Reward:   -6.70 | Avg(100):   -5.70 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     108 | Ep Time:   0.37s | Avg100 Time:   0.40s | Total Time:    0.06m
Episode     9 | Reward:   -6.10 | Avg(100):   -5.74 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     120 | Ep Time:   0.42s | Avg100 Time:   0.40s | Total Time:    0.07m
Episode    10 | Reward:   -6.70 | Avg(100):   -5.83 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     132 | Ep Time:   0.37s | Avg100 Time:   0.40s | Total Time:    0.07m
Episode    11 | Reward:   -4.90 | Avg(100):   -5.75 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     144 | Ep Time:   0.37s | Avg100 Time:   0.40s | Total Time:    0.08m
